GEOID10,B_NAIP,G_NAIP,R_NAIP,NIR_NAIP,NDVI,NDBI,ESA_LC_MODE,Impervious_Surface,Tree_Coverage,RD_LST_0723,RD_LST_0808,RD_LST_Composite,RD_MODIS_0721,RD_MODIS_0724,am_hi,am_t,af_hi,af_t,pm_hi,pm_t
3.7063E+11,96.39012909,110.5633087,86.88951874,165.5017548,0.524737477,-0.176886216,10,23.47353363,46.09934235,42964.20313,47106.22656,45035.21484,15324.9541,15368.95605,67.94733429,67.2208252,84.71659851,83.94698334,83.50695801,81.19681549
3.7063E+11,123.4897537,136.20047,127.5924301,141.8038025,0.267949909,-0.081030346,50,53.96635056,26.73226357,43914,47939,45926.5,15145,15084,69.71442413,69.09429169,86.13686371,84.21922302,84.26830292,82.16488647
3.7063E+11,120.0900803,133.9606018,122.444725,173.5016479,0.32303679,-0.047193281,50,47.86003494,40.53151703,41685.58594,47353.83203,44519.70703,15312.56055,15378.03516,69.50125885,68.54076385,87.21871948,84.64902496,84.49589539,82.80252838
3.7063E+11,101.3770676,118.6381607,91.9601593,178.7103577,0.606655836,-0.247666821,10,25.06784248,74.40557861,43956.70703,45636.58594,44796.64453,15129.6123,15180.16016,66.78437042,66.3657608,86.17214966,83.83369446,79.97084808,78.58261108
3.7063E+11,105.1633148,122.6830368,100.8160172,173.1284332,0.586808205,-0.213791266,10,25.82653427,72.89391327,44285.60156,45839.15625,45062.37891,15120.76465,15126.91406,67.28836823,66.79402161,85.11115265,83.21497345,81.17950439,79.51513672
3.7063E+11,117.0426636,133.3466492,122.3789215,172.5222321,0.341338664,-0.063351624,50,49.64333725,31.89932632,43417.16797,47793.93359,45605.55078,15292.76074,15430.625,69.64014435,68.62365723,86.00744629,84.78092194,84.39586639,82.55288696
3.7063E+11,102.8729782,119.9302673,95.14279175,169.3424988,0.572879374,-0.226988167,10,19.09503365,57.98551941,44845.90625,46194.94531,45520.42578,15206.97168,15269.59961,66.78141785,66.38786316,85.5598526,83.82333374,81.29922485,79.45018005
3.7063E+11,102.0675888,119.5425568,92.44145203,183.441925,0.628548682,-0.249062136,10,24.16184425,75.86709595,43843.02344,45496.03906,44669.53125,15101.91309,15156.01172,67.2270813,66.80222321,86.2155838,83.7069931,80.19146729,78.74629211
3.7063E+11,94.24337769,108.2918854,80.71305084,175.3839569,0.597561896,-0.216672048,10,13.47038269,60.82616806,44116.61719,45954.90234,45035.75781,15188.59668,15230.16504,66.82193756,66.34371948,85.53051758,83.1924057,80.8036499,79.20850372
3.7063E+11,99.14112854,114.3407974,89.06906891,173.4203339,0.571780682,-0.242304564,10,19.28346443,70.86471558,44913.72656,46125.67969,45519.70313,15181.41602,15214.8125,67.74781036,67.12908173,84.46375275,82.89631653,82.04228973,80.26763916
3.7063E+11,99.9234848,116.4150772,93.85839844,169.0241089,0.548592985,-0.178507417,10,20.13739586,52.22496796,43036.91797,46448.86328,44742.89063,15205.10547,15295.03906,67.01874542,66.40461731,85.02539825,83.33898163,81.33255005,79.66828918
3.7063E+11,98.95800018,114.2734299,90.92432404,168.9161682,0.556447387,-0.178930029,10,17.11182213,55.25498199,42409.02344,46433.10938,44421.06641,15201.53711,15278.4248,66.60649872,66.05802917,84.53623962,83.58798981,81.95929718,80.13973236
3.7063E+11,109.6627655,125.1436081,106.5549393,158.7160797,0.499159336,-0.139099509,10,26.02342224,49.04273987,45409.42969,46512.91797,45961.17188,15145.17188,15252.55176,67.6473999,66.89482117,84.61454773,83.85799408,83.64677429,81.49424744
3.7063E+11,107.3774948,124.6551208,104.8138733,188.1493073,0.58979845,-0.215674818,10,5.957828045,65.60037994,44863.82422,46011.01172,45437.41797,15177.66602,15233.08691,67.60083008,66.99594879,84.80541229,83.08287811,82.66455841,80.43414307
3.7063E+11,102.2422562,121.689476,96.67698669,178.2001801,0.469401479,-0.172471344,10,28.49520302,55.32249832,44945.46484,46666.6875,45806.07813,15176.92773,15250.70605,68.09278107,67.33716583,85.25695801,84.17488098,83.9882431,81.63315582
3.7063E+11,108.37677,125.1302948,106.347023,179.3143005,0.549537361,-0.208733663,10,37.60908127,70.12576294,44713.68359,46234.12109,45473.90234,15171.13086,15276.6709,67.60910797,66.99053955,84.84247589,83.48855591,81.92314911,80.23008728
3.7063E+11,108.9380493,125.3728867,109.9127579,174.8890991,0.429241657,-0.119239412,10,38.09021378,45.23789215,44255.17188,47383.11328,45819.14453,15260.96484,15388.94043,68.69956207,67.8743515,85.90398407,84.48970032,83.94652557,81.91133118
3.7063E+11,109.6432877,125.2910995,110.3944397,169.7761993,0.400411427,-0.093710065,10,40.09068298,34.96078491,44150.4375,47777.55078,45963.99609,15321.90625,15465.73242,69.04937744,68.20500946,86.15877533,84.46977234,84.18426514,82.49031067
3.7063E+11,116.4247589,131.4114075,118.0286331,173.5090179,0.359029472,-0.071004696,50,44.48220444,36.07522583,43820.07422,47779.64453,45799.85547,15284.85254,15389.32813,69.31480408,68.42302704,86.62466431,84.29695892,84.04966736,82.38478851
3.7063E+11,119.2316284,137.0163879,125.9928589,180.819397,0.331968188,-0.025256023,50,47.90402985,20.53177643,44821.71094,47705.94922,46263.82813,15279.43164,15399.38379,69.81358337,68.76906586,85.53860474,84.46085358,84.5477829,82.7697525
3.7063E+11,104.5423355,121.5028229,99.991539,171.4147491,0.553230464,-0.219323486,10,18.78513336,64.31226349,43715.44531,46323.5625,45019.50391,15207.49609,15314.99609,67.43091583,66.86356354,85.39154816,83.64295197,81.91983032,80.06492615
3.7063E+11,103.9330673,121.347496,98.00775909,175.8527985,0.596915245,-0.245184377,10,22.52051926,65.59883881,43183.03125,45995.78125,44589.40234,15167.76855,15218.91211,66.51018524,66.10882568,85.99246979,84.07653809,81.10346222,79.44776917
3.7063E+11,99.65834045,116.2628098,93.72536469,167.4529877,0.587531269,-0.211395085,10,25.6422596,66.80970764,44485.42188,46164.26172,45324.84375,15149.18555,15251.41211,67.08351898,66.53275299,85.38056183,83.56973267,81.92747498,80.22397614
3.7063E+11,119.6467133,137.0075073,122.6135712,177.3408661,0.447975963,-0.147876203,10,35.16897964,53.13216019,44749.71875,46852.61719,45801.16406,15229.3125,15330.70996,68.62647247,67.99217987,84.77598572,83.4644928,84.2285614,82.29627228
3.7063E+11,118.5873871,133.0817261,121.3360367,158.3846893,0.344692737,-0.067303777,50,48.93731308,32.48761368,45209.48828,47351.75,46280.61719,15227.14063,15290.9707,69.66176605,68.9465332,85.89764404,84.34281158,84.46430969,82.74443817
3.7063E+11,109.772377,127.0336533,107.1025085,174.3892212,0.523836732,-0.194671556,10,23.36239624,54.42730713,45085.19531,46335.70703,45710.45313,15236.00684,15322.47852,68.39306641,67.68917847,84.00241089,82.94191742,84.15870667,81.96092987
3.7063E+11,92.16520691,106.3811264,80.42937469,177.2046509,0.593809545,-0.229549199,10,10.20642471,65.98090363,44222.62891,46298.17578,45260.39844,15246.35938,15284.33008,67.35810852,66.7731781,85.16580963,83.09923553,81.69591522,80.04677582
3.7063E+11,116.3769913,129.8913422,114.6014709,164.0015717,0.359389722,-0.083641671,50,45.52412415,39.10084534,44695.27734,47013.10156,45854.19141,15294.04297,15349.94043,68.68531799,67.88417816,85.20927429,84.45806885,84.305336,82.12598419
3.7063E+11,105.3086624,120.67733,100.1744003,173.5699463,0.483689219,-0.147888869,10,29.93531418,53.00697327,44921.35156,46952.20313,45936.77734,15280.06934,15323.01855,68.3899765,67.59492493,85.39978027,84.0165863,83.51316833,81.61798096
3.7063E+11,107.14608,124.1049118,105.9823074,167.1933441,0.444706798,-0.098916382,10,29.9380455,43.30633545,44065.69922,46808.14453,45436.92188,15219.99121,15294.79199,68.53556061,67.7926712,85.70556641,84.05294037,83.38560486,81.22066498
3.7063E+11,95.99198151,111.312561,88.15010834,169.9632263,0.519313037,-0.175510153,10,22.90396309,46.07699203,44896.25781,46728.16016,45812.21094,15313.6084,15441.0752,67.35739136,66.76845551,85.10105133,83.50737,82.84643555,80.62188721
3.7063E+11,101.9085083,115.8831253,93.09456635,172.9960022,0.500711203,-0.17554085,10,28.72174835,58.71104431,42103.73047,46833.25,44468.49219,15299.49805,15349.86914,68.30422211,67.47851563,85.35023499,83.70400238,83.34137726,81.33657074
3.7063E+11,114.2202988,129.048996,113.4930115,170.13591,0.357701361,-0.063748427,50,50.25468063,43.49805069,42798.28125,47165.09375,44981.6875,15258.31641,15318.03711,68.22615814,67.48368073,85.1689682,84.8121109,84.30921173,82.23699188
3.7063E+11,94.09113312,108.1527023,82.8454361,166.2880707,0.555544734,-0.193484277,10,13.67131042,59.50125885,43381.53125,46112.02344,44746.77734,15266.71582,15317.64355,67.52902222,66.83226013,84.7411499,83.34403992,82.58248901,80.53477478
3.7063E+11,99.58851624,114.8260422,92.5424881,177.1230164,0.535349905,-0.176735416,10,23.78323555,57.35105133,43800.62891,46652.75391,45226.69141,15234.75977,15341.24805,67.6472702,66.97257233,85.05960083,83.43114471,82.54813385,80.65619659
3.7063E+11,100.3008499,114.4456711,93.99008179,168.2914124,0.480962723,-0.148710355,10,24.62625313,46.0827179,42055.07031,46682.3125,44368.69141,15323.43945,15361.17285,67.97612,67.25831604,85.57147217,84.10657501,83.23908997,81.23108673
3.7063E+11,89.73323059,102.3316956,76.39485931,169.0822906,0.571823001,-0.209912077,10,14.5493927,59.23075104,43083.95703,46872.31641,44978.13672,15250.86426,15339.45215,67.2908783,66.63608551,84.78930664,83.30015564,82.17225647,80.22943878
3.7063E+11,91.00551605,104.250206,79.41217041,167.6042175,0.559183836,-0.205073997,10,16.36994743,53.14142227,42087.58203,46526.37891,44306.98047,15319.82031,15353.12207,67.1862793,66.52737427,84.71173096,83.37931824,82.27078247,80.29108429
3.7063E+11,102.0505981,118.9618835,98.35951233,172.6497498,0.475124031,-0.114146635,10,31.778862,35.90623474,43277.99219,46978.82422,45128.41016,15262.08301,15301.52832,68.34501648,67.55425262,84.57138062,83.60860443,83.50160217,81.52397156
3.7063E+11,99.77676392,114.8422165,90.58066559,170.7356567,0.530061066,-0.178783685,10,23.58270836,60.7921524,44602.69531,46923.57813,45763.13672,15233.82324,15300.4502,67.33927155,66.66876984,84.40715027,83.40099335,82.27907562,80.30258179
3.7063E+11,103.4586945,119.321106,100.4738007,173.7299194,0.46105957,-0.128640488,10,35.32915497,43.22651672,45528.09375,47181.58594,46354.83594,15333.8457,15503.53516,68.07633209,67.34945679,85.20659637,84.31158447,83.71295166,81.45246887
3.7063E+11,94.23390198,109.2088776,83.70362091,174.4499512,0.592387676,-0.243515939,10,10.58150196,67.85411072,44855.51953,46027.10547,45441.3125,15216.23633,15274.80469,67.74710083,67.11190796,84.67510986,83.26280212,83.12805176,81.1113205
3.7063E+11,97.94643402,113.6201553,90.00766754,173.3705444,0.511522174,-0.172324046,10,29.20620346,49.10868073,46012.65625,46883.60156,46448.12891,15325.17871,15492.9375,67.64637756,67.00563049,85.45562744,83.89022827,83.00705719,80.79065704
3.7063E+11,97.34314728,112.7270508,89.14837646,168.420929,0.505556405,-0.147717491,10,24.61613655,43.2988205,42332.38281,47132.01172,44732.19922,15270.77051,15303.62793,67.87221527,67.17447662,84.44789886,84.05084229,83.90086365,81.48526001
3.7063E+11,92.60700989,105.6204224,81.96434784,171.9486237,0.541152239,-0.186844572,10,19.72368813,57.58746338,42288.94922,46238.67578,44263.8125,15289.8457,15343.35254,67.29290771,66.69464874,85.41437531,83.48767853,81.83546448,80.09735107
3.7063E+11,104.440979,122.0940323,103.5860519,175.6147919,0.46726045,-0.125100151,10,32.73572922,38.82936478,45965.20703,47395.72266,46680.46484,15326.70703,15482.66602,67.54891205,66.96182251,85.8127594,84.32724762,83.93975067,81.45130157
3.7063E+11,92.31906891,108.5564575,83.80667114,176.4160767,0.530463934,-0.191193566,10,22.27870941,53.25649643,46073.71875,46653.94531,46363.83203,15208.91211,15300.49414,67.81684875,67.16053009,85.84062958,83.97084808,83.11199188,80.97477722
3.7063E+11,110.5883713,129.1054688,109.0569839,182.6263275,0.490466624,-0.170995474,10,37.57746506,62.98141479,43554.64844,46453.35938,45004.00391,15200.10059,15254.7959,67.95315552,67.28894806,85.32640076,83.97511292,83.0055542,80.98443604
3.7063E+11,107.2653122,122.5726852,105.3239899,164.5047913,0.45205155,-0.138894856,10,34.52610779,42.26128006,43342.0625,46733.95313,45038.00781,15281.05078,15399.64258,67.89547729,67.22033691,84.92801666,84.06401062,83.66823578,81.39008331
3.7063E+11,93.10029602,109.0048065,85.50237274,175.970047,0.548995554,-0.199323684,10,18.76148796,59.00120163,45449.04688,47533.0625,46491.05469,15239.93652,15362.45703,67.61746216,66.98618317,85.69689178,83.63684845,82.15238953,80.29747772
3.7063E+11,107.2042236,123.1322021,105.0337677,175.1347504,0.387114048,-0.09364596,50,38.15228271,43.45885468,46169.09375,47021.04297,46595.07031,15219.49805,15332.02246,68.47025299,67.72361755,86.38207245,84.96729279,84.26998901,82.07032013
3.7063E+11,105.8638306,121.8331146,98.53948212,179.8391876,0.582789898,-0.247931033,10,9.446443558,68.47788239,44943.22266,45894.34766,45418.78516,15193.4209,15253.05762,68.09277344,67.3688736,85.13922882,83.77313232,83.87993622,81.665802
3.7063E+11,100.5425949,119.3426666,94.36361694,185.0032806,0.570185184,-0.212655395,10,21.95659256,62.91794968,44729.24609,46297.36328,45513.30469,15187.25,15224.25391,67.85267639,67.21395111,85.89006805,83.74755859,82.26968384,80.38978577
3.7063E+11,95.91294861,113.3666306,87.94967651,179.8738403,0.551245511,-0.190049544,10,22.27571869,58.37603378,44210.00781,46286.31641,45248.16016,15187.12598,15255.06445,67.73510742,67.10053253,85.80491638,83.81764984,82.66564941,80.67076111
3.7063E+11,109.3524323,126.240799,108.5093307,177.6051636,0.44875735,-0.067261159,10,28.14984894,32.66937637,43094.80078,47142.82813,45118.81641,15326.38574,15373.96387,68.57062531,67.74291992,85.80808258,84.28665924,83.94817352,81.92713928
3.7063E+11,99.02136993,113.9020767,93.23447418,175.7238312,0.49055168,-0.157906726,10,30.34618187,44.56788254,46407.15625,47322.07813,46864.62109,15260.59766,15376.79883,68.60704803,67.76021576,86.13056946,84.45463562,83.60509491,81.49880981
3.7063E+11,99.08117676,115.284256,90.86022186,177.451889,0.605648458,-0.233705476,10,14.08333397,60.16884995,44371.54688,45656.48047,45014.01172,15188.55664,15279.59668,66.31991577,65.908638,86.85054779,84.42449951,80.28503418,78.89746857
3.7063E+11,101.1674423,117.8297119,92.79471588,177.2306213,0.591440976,-0.256935716,10,10.0380621,66.72319794,43688.33984,46061.53516,44874.9375,15233.27832,15283.29688,68.20017242,67.48087311,85.13022614,83.86993408,83.81247711,81.59069061
3.7063E+11,116.1801605,131.0031128,116.0441513,168.3639679,0.416369379,-0.117190287,10,42.06010818,53.9635582,45521.83594,47001.85547,46261.84766,15191.75586,15220.00391,69.07183075,68.2613678,85.44073486,84.09552765,83.77965546,81.81558228
3.7063E+11,99.23957825,115.2473831,94.40936279,170.8964081,0.505546689,-0.161122888,10,25.91839218,45.38024139,44773.05078,47115.89844,45944.47656,15309.26855,15448.53418,67.29595184,66.78665924,85.46663666,84.02807617,83.13681793,80.85237885
3.7063E+11,100.6184464,115.5391083,95.57949829,171.6771698,0.498911709,-0.168345198,10,34.34745026,61.31781387,43719.84375,46229.61328,44974.73047,15207.98535,15244.8252,67.88726807,67.23242188,85.70882416,83.64704132,82.24108124,80.40859985
3.7063E+11,103.2018356,120.2714996,94.82611847,179.2542419,0.573521078,-0.220601708,10,27.9213829,72.64904022,43240.09766,45591.22266,44415.66016,15104.62109,15147.31836,67.30464172,66.82694244,86.10710907,83.76081085,80.514328,79.01194763
3.7063E+11,102.6953812,116.7332764,94.58783722,166.5739441,0.490611047,-0.168351606,10,31.1275425,50.76003265,44843.39063,46669.58984,45756.48828,15286.72363,15378.47266,67.75530243,67.09579468,84.96624756,83.76547241,83.15557098,80.9094162
3.7063E+11,105.7472763,123.2404022,101.3553848,173.6544495,0.539945364,-0.199677035,10,23.19256592,59.55274963,43990.88281,46457.08594,45223.98047,15192.41406,15280.75195,67.1934967,66.68564606,85.5909729,83.91867828,82.06174469,80.16847229
3.7063E+11,97.31723785,113.0682678,90.85939789,167.1873169,0.504171968,-0.166580811,10,26.7302742,42.77616501,46588.91406,47234.96484,46911.9375,15324.99902,15469.91602,67.50302887,66.93890381,85.05817413,83.71226501,84.35865021,81.47464752
3.7063E+11,105.1801071,119.1197739,99.22285461,166.0971222,0.505563021,-0.170414701,10,27.82571602,52.439785,45236.35938,46971.43359,46103.89453,15303.05957,15396.98535,67.55666351,66.96126556,85.16661072,83.9943924,82.98574066,80.80869293
3.7063E+11,96.79933929,111.8109741,87.2101593,178.9018707,0.62882185,-0.261255413,10,17.8218174,66.03666687,43127.73828,46044.1875,44585.96094,15216.14648,15277.33984,66.37915039,65.95819855,86.22901154,83.88025665,80.21963501,78.88182831
3.7063E+11,102.6858215,116.9915924,95.1157608,174.4569855,0.485845059,-0.17016013,10,39.27503204,66.0448761,43090.78516,46481.95703,44786.375,15258.8418,15300.82227,67.84463501,67.17315674,85.73458099,83.81209564,82.2734375,80.38795471
3.7063E+11,101.6023712,118.0203018,96.26959229,177.818222,0.507980287,-0.196514726,10,30.65277672,63.85189438,44783.52344,46837.63672,45810.57813,15202.02637,15299.2998,68.353508,67.59011078,85.60193634,83.70939636,82.32666016,80.50978088
3.7063E+11,92.93960571,110.9067383,84.64502716,181.9643402,0.562475026,-0.217603281,10,21.38228989,61.96312714,44515.18359,46673.25781,45594.21875,15168.64063,15254.79785,67.93802643,67.21574402,85.5735321,83.45215607,81.98730469,80.10744476
3.7063E+11,99.28594971,116.708931,94.08280945,165.692276,0.586029053,-0.223171115,10,19.38406754,58.33755875,43608.97266,46533.55469,45071.26172,15184.71484,15293.64746,66.59211731,65.99584198,84.76787567,83.27651215,81.50077057,79.86767578
3.7063E+11,99.72856903,114.3067245,90.53883362,169.363327,0.539641201,-0.210141078,10,30.06374168,65.98530579,43812.45313,46331.96094,45072.20313,15212.72461,15306.88184,67.36449432,66.69075012,84.28630066,83.34373474,82.53619385,80.62538147
3.7063E+11,100.9102859,116.3128433,94.69259644,173.9599152,0.513427377,-0.155970365,10,27.03663826,49.90509415,44060.76953,47048.5625,45554.66797,15238.22852,15277.75293,67.94132233,67.29130554,85.35024261,83.7168045,82.55529785,80.57118225
3.7063E+11,103.3579178,118.6042709,96.40268707,173.7596893,0.535861731,-0.200041145,10,19.11138153,63.47005463,45374.76563,46432.69531,45903.73047,15200.375,15274.55469,67.91712189,67.24991608,84.6782074,83.42810822,83.05631256,81.18834686
3.7063E+11,97.11354828,112.539299,89.93527985,177.0668488,0.584684253,-0.228104115,10,19.08098412,62.20319748,43154.45703,46228.85156,44691.65234,15215.27344,15253.3584,67.15970612,66.59989929,85.48278046,83.29857635,80.76094818,79.33308411
3.7063E+11,132.1239319,143.6899719,137.071991,165.9093018,0.230387241,-0.010811276,50,65.22157288,28.2716198,43227.18359,47785.47656,45506.33203,15332.63672,15431.90137,69.52494812,68.51634979,86.97629547,84.93052673,85.0220108,83.01117706
3.7063E+11,96.47753143,114.4589996,90.87775421,177.9557648,0.525686443,-0.203158826,10,28.89192009,66.70671844,44676.33594,46631.36719,45653.85156,15188.21484,15292.63867,67.98134613,67.26062775,85.60870361,83.80509186,82.80767822,80.75093842
3.7063E+11,102.3791199,117.2766724,96.34421539,174.2123871,0.512244105,-0.183496118,10,26.53249359,55.98426056,43989.70703,46732.16016,45360.9375,15228.71973,15248.41895,67.67191315,66.95258331,84.69920349,83.3960495,83.358078,81.36696625
3.7063E+11,95.68861389,113.9682846,89.26444244,183.9362793,0.642318726,-0.253342599,10,8.035446167,77.75040436,44842.15234,46125.3125,45483.73438,15145.76172,15202.5459,67.58178711,66.98045349,84.70985413,82.74802399,81.48709106,79.77284241
3.7063E+11,112.763176,130.588562,119.0130615,158.3901215,0.412300557,-0.111485466,10,36.96321106,39.57554626,43001.83594,47521.15234,45261.49609,15154.58008,15135.47559,68.75097656,68.12478638,84.40701294,83.36213684,84.54727936,82.4389267
3.7063E+11,103.8075638,123.1281586,107.4775162,166.1634369,0.528816879,-0.189933211,10,25.34265137,54.38458252,44127.35938,46115.17578,45121.26953,15097.37695,15083.99902,67.67572021,67.14696503,85.07530212,83.94515991,83.25074768,81.06253052
3.7063E+11,104.4333191,121.33535,97.91513824,171.0671692,0.632878721,-0.279405743,10,25.44738197,76.3867569,43512.55469,45643.77344,44587.22266,15120.03223,15176.53223,66.80260468,66.40480042,85.73789215,83.39678955,79.9881897,78.58512878
3.7063E+11,110.3355103,128.6729431,109.4212646,170.7486877,0.589781106,-0.220227614,10,23.94385719,62.02645111,42858.78906,46277.70703,44572.22656,15192.98535,15228.89453,67.02259064,66.54112244,85.54672241,83.84857178,81.72808838,79.8612442
3.7063E+11,128.1284332,144.1124573,131.9457703,177.473526,0.3696087,-0.117311954,50,48.08882523,49.78246689,45090.94531,47738.73828,46414.83984,15219.99609,15353.34473,68.85559082,68.16372681,85.13404846,83.84420013,84.53224182,82.95354462
3.7063E+11,101.7050476,116.6777039,98.01998138,172.5029602,0.470296144,-0.139304787,10,32.05007172,42.33374023,42947.86719,46633.03516,44790.45313,15311.33398,15377.55566,68.01538849,67.30846405,85.54724121,84.08437347,83.67989349,81.38034821
3.7063E+11,107.0091095,123.2465515,100.021347,170.3822784,0.524007559,-0.204837307,10,28.60086441,65.78857422,44593.26563,46250.50781,45421.88672,15200.66895,15302.49512,67.30034637,66.78544617,85.28756714,83.61195374,81.91292572,80.05845642
3.7063E+11,126.4829712,143.3436127,130.2777863,178.7863617,0.390074074,-0.124063283,10,42.35099411,46.00231171,44631.48828,46761.45313,45696.46875,15211.19629,15300.48633,68.32063293,67.62656403,84.8152771,84.03839111,84.19054413,82.56598663
3.71831E+11,109.9675674,125.3282089,94.61141205,179.0597534,0.525305688,-0.21106109,10,11.21319485,56.17755508,46621.5,46584.33594,46874.38672,15274.08887,15287.19434,68.25229645,67.61423492,85.51161957,83.87281036,82.98792267,80.76220703
3.71831E+11,101.6449203,121.2521057,96.78721619,165.2434692,0.507049501,-0.260973245,10,14.65538502,55.94012833,45437.80078,46501.41797,45957.5625,15262.98926,15276.45703,68.44033813,67.75969696,86.09879303,83.85178375,82.74744415,80.46800995
3.71831E+11,116.5537491,132.5488892,105.0168228,179.4471588,0.366618454,-0.249729782,10,21.61022377,48.36645126,47222.02344,47117.22656,47593.39063,15295.06348,15362.68164,68.92874908,68.32471466,86.68264771,84.57923889,83.88597107,81.31760406
3.71831E+11,108.7871704,128.9325714,104.7114792,167.8254089,0.454078466,-0.201940656,10,26.90878296,53.34770203,46535.17188,46870.58594,47347.83203,15287.98828,15370.61621,68.20168304,67.49728394,86.36322021,84.07078552,82.94728088,80.55458832
