GEO_ID,NAME,,YEAR,FIRM
50001,"Addison County, Vermont",,2018,970
50003,"Bennington County, Vermont",,2018,1137
50005,"Caledonia County, Vermont",,2018,740
50007,"Chittenden County, Vermont",,2018,4510
50009,"Essex County, Vermont",,2018,91
50011,"Franklin County, Vermont",,2018,841
50013,"Grand Isle County, Vermont",,2018,139
50015,"Lamoille County, Vermont",,2018,815
50017,"Orange County, Vermont",,2018,579
50019,"Orleans County, Vermont",,2018,619
50021,"Rutland County, Vermont",,2018,1713
50023,"Washington County, Vermont",,2018,1803
50025,"Windham County, Vermont",,2018,1360
50027,"Windsor County, Vermont",,2018,1601